product_author,product_name,product_price,product_rating
Hoda Kotb,I Really Needed This Today: Words to Live By,$14.49,84
Brian Kilmeade,Sam Houston and the Alamo Avengers: The Texas Victory That Changed American History,$16.95,10
Tieghan Gerard,"Half Baked Harvest Super Simple: More Than 125 Recipes for Instant, Overnight, Meal-Prepped, and Easy Comfort Foods: A Cookbook",$17.99,102
Ree Drummond,The Pioneer Woman Cooks: The New Frontier: 112 Fantastic Favorites for Everyday Eating,$17.99,115
Lee Child,Blue Moon: A Jack Reacher Novel,$14.99,486
Tim McGraw,"Grit & Grace: Train the Mind, Train the Body, Own Your Life",$19.39,10
Gregory Zuckerman,The Man Who Solved the Market: How Jim  Simons Launched the Quant Revolution,$18.02,11
Elizabeth Strout,"Olive, Again (Oprah's Book Club): A Novel",$13.99,176
Mitch Albom,"Finding Chika: A Little Girl, an Earthquake, and the Making of a Family",$14.99,15
John Lithgow,"Dumpty: The Age of Trump in Verse (Political Satire Book, Poetry, Political Humor Gift)",$13.99,85
David Limbaugh,Guilty By Reason of Insanity: Why The Democrats Must Not Win,$18.59,29
Alison Roman,Nothing Fancy: Unfussy Food for Having People Over,$19.50,136
Shannon Messenger,Legacy (8) (Keeper of the Lost Cities),$15.39,22
Bret Baier,Three Days at the Brink: FDR's Daring Gamble to Win World War II (Three Days Series),$18.39,25
Mike Rowe,The Way I Heard It,$16.89,271
Michael Connelly,The Night Fire (A Renée Ballard and Harry Bosch Novel Book 2),$14.99,366
Rhett McLaughlin,The Lost Causes of Bleak Creek: A Novel,$15.60,89
Unkown,The Body: A Guide for Occupants,$0.00,62
Erin Morgenstern,The Starless Sea: A Novel,$17.39,14
Flea,Acid for the Children: A Memoir,$18.00,3
Alice Schertle,"Good Night, Little Blue Truck",$10.79,47
Neal Shusterman,The Toll (3) (Arc of a Scythe),$11.99,23
Unkown,Find Me: A Novel,$16.20,57
Unkown,"Food: What the Heck Should I Cook?: More than 100 Delicious Recipes--Pegan, Vegan, Paleo, Gluten-free, Dairy-free, and More--For Lifelong Health",$19.69,110
Angela Kelly,"The Other Side of the Coin: The Queen, the Dresser and the Wardrobe",$21.00,16
Mo Rocca,Mobituaries: Great Lives Worth Reliving,$18.82,9
Unkown,"Dear Girls: Intimate Tales, Untold Secrets & Advice for Living Your Best Life",$0.00,84
Bob Goff,"Live in Grace, Walk in Love: A 365-Day Journey",$11.27,24
Julie Andrews,Home Work: A Memoir of My Hollywood Years,$17.99,75
Andrew Rea,Binging with Babish: 100 Recipes Recreated from Your Favorite Movies and TV Shows,$22.99,53
Lupita Nyong'o,Sulwe,$14.61,73
Unkown,The Infinite Game,$0.00,33
Riot Games,League of Legends: Realms of Runeterra (Official Companion),$18.52,20
John le Carré,Agent Running in the Field: A Novel,$14.99,75
Rachel Renée Russell,Dork Diaries 14: Tales from a Not-So-Best Friend Forever (14),$8.99,33
Ben Horowitz,What You Do Is Who You Are: How to Create Your Business Culture,$17.99,9
Charlie Mackesy,"The Boy, the Mole, the Fox and the Horse",$16.60,111
Unkown,Trailblazer: The Power of Business as the Greatest Platform for Change,$17.99,20
Scott Adams,Loserthink: How Untrained Brains Are Ruining America,$16.39,46
Unkown,The Crayons' Christmas,$16.29,4
Unkown,The Official Bright Line Eating Cookbook: Weight Loss Made Simple,$27.00,188
Kimberley Strassel,Resistance (At All Costs): How Trump Haters Are Breaking America,$17.99,91
Tui T. Sutherland,The Hidden Kingdom (Wings of Fire Graphic Novel #3): A Graphix Book (3),$7.79,39
Twyla Tharp,Keep It Moving: Lessons for the Rest of Your Life,$20.99,7
Larry Platt,Life Is Magic: My Inspiring Journey from Tragedy to Self-Discovery,$22.76,8
Marissa Meyer,Supernova,$11.99,8
Unkown,Disney: Storybook Collection Advent Calendar,,
Gary Janetti,Do You Mind If I Cancel?: (Things That Still Annoy Me),$16.79,36
Nelson DeMille,The Deserter: A Novel,$14.99,123
John Kenney,Love Poems for People with Children,$10.39,5
Unkown,Morning Glory on the Vine: Early Songs and Drawings,$28.99,17
Kevin Wilson,Nothing to See Here,$12.99,24
Unkown,The Inflammation Spectrum: Find Your Food Triggers and Reset Your System,$11.99,24
Edmund Morris,Edison,$25.13,33
Unkown,Resistance Reborn (Star Wars): Journey to Star Wars: The Rise of Skywalker,$0.00,26
Amanda Seales,Small Doses,$21.53,75
Andrea Beaty,"Sofia Valdez, Future Prez (The Questioneers)",$14.27,10
John Mark Comer,The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,$21.59,54
Unkown,"Who Do You Say I Am?: Daily Reflections on the Bible, the Saints, and the Answer That Is Christ",$23.40,2
Rand Paul,The Case Against Socialism,$26.09,51
Jenny Slate,Little Weirds,$16.45,7
Cameron Douglas,Long Way Home,$16.77,42
Apollonia Poilâne,Poilâne: The Secrets of the World-Famous Bread Bakery,$24.99,19
Gabrielle Bernstein,Super Attractor: A 52-Card Deck,$18.31,2
Unkown,Friends Forever [25th Anniversary Ed]: The One About the Episodes,$21.09,1
Carly Simon,Touched by the Sun: My Friendship with Jackie,$16.20,88
Holly George-Warren,Janis: Her Life and Music,$16.74,24
Unkown,Open Borders: The Science and Ethics of Immigration,$17.99,88
John Plant,"Primitive Technology: A Survivalist's Guide to Building Tools, Shelters, and More in the Wild",$13.99,30
Unkown,"The End Is Always Near: Apocalyptic Moments, from the Bronze Age Collapse to Nuclear Near Misses",$0.00,33
Maya Krampf,The Wholesome Yum Easy Keto Cookbook: 100 Simple Low Carb Recipes. 10 Ingredients or Less,$19.49,386
Richard Paul Evans,Noel Street (The Noel Collection),$17.59,8
Don Yaeger,You Are Worth It: Building a Life Worth Fighting For,$17.79,34
Unkown,The Rihanna Book,$121.45,20
Timothy Keller,The Meaning of Marriage: A Couple's Devotional: A Year of Daily Devotions,$17.69,
Michael Bazzell,Open Source Intelligence Techniques: Resources for Searching and Analyzing Online Information,$38.86,1
Rachael Ray,Rachael Ray 50: Memories and Meals from a Sweet and Savory Life: A Cookbook,$19.59,14
Unkown,Sailing True North: Ten Admirals and the Voyage of Character,$16.89,34
David M. Rubenstein,The American Story: Conversations with Master Historians,$20.49,2
J.W. Rinzler,"Rick Baker: Metamorphosis: Vol 1: 1950–1989, Vol 2: 1990–2019",$166.17,31
Sean Brock,South: Essential Recipes and New Explorations,$30.49,13
Lisa Jewell,The Family Upstairs: A Novel,$12.99,99
Brent Weeks,The Burning White (Lightbringer Book 5),$14.99,112
Mary Higgins Clark,Kiss the Girls and Make Them Cry: A Novel,$12.99,8
Unkown,Berserk Deluxe Volume 3,$37.49,8
Sara W. Berry,Tap Code: The Epic Survival Tale of a Vietnam POW and the Secret Code That Changed Everything,$23.01,7
Jeffrey Rosen,"Conversations with RBG: Ruth Bader Ginsburg on Life, Love, Liberty, and Law",$23.05,5
Unkown,The Dinky Donkey,$5.58,3
Unkown,"Wild Game: My Mother, Her Lover, and Me",$0.00,142
Christopher McDougall,Running with Sherman: The Donkey with the Heart of a Hero,$17.62,20
Jefferson Bethke,"To Hell With the Hustle: Reclaiming Your Life in an Overworked, Overspent, and Overconnected World",$14.39,272
Louie Giglio,How Great Is Our God: 100 Indescribable Devotions About God and Science,$16.19,8
Maggie Stiefvater,"Call Down the Hawk (The Dreamer Trilogy, Book 1)",$13.99,8
Unkown,The Fab Four Cookbook: 21 Days to Change Your Life… One Plant-Based Bite at a Time,$23.75,4
Joanne Chang,Pastry Love: A Baker's Journal of Favorite Recipes,$33.62,7
Carmen Maria Machado,In the Dream House: A Memoir,$21.49,7
Anthony Daniels,I Am C-3PO - The Inside Story: Foreword by J.J. Abrams,$17.49,1
Unkown,"Cracking the AP World History: Modern Exam 2020, Premium Edition: 5 Practice Tests + Complete Content Review + Proven Prep for the NEW 2020 Exam (College Test Preparation)",$18.19,2
Cyntoia Brown-Long,Free Cyntoia: My Search for Redemption in the American Prison System,$16.39,30
Unkown,Gunner Stahl: Portraits: I Have So Much To Tell You,$22.49,2
Robert Brooks,The Art of Diablo,$27.43,11
Unkown,How Does the Show Go On The Frozen Edition: An Introduction to the Theater (A Disney Theatrical Souvenir Book),$20.48,
Kim Krans,The Wild Unknown Archetypes Deck and Guidebook,$23.98,52
Gloria Steinem,"The Truth Will Set You Free, But First It Will Piss You Off!: Thoughts on Life, Love, and Rebellion",$19.80,1
Erin Hunter,Warriors: The Broken Code #2: The Silent Thaw,$12.59,21
Amaryllis Fox,Life Undercover: Coming of Age in the CIA,$13.99,46
Insight Editions,Harry Potter: A Hogwarts Christmas Pop-Up (Advent Calendar),$23.99,32
You Suck at Cooking,You Suck at Cooking: The Absurdly Practical Guide to Sucking Slightly Less at Making Food: A Cookbook,$13.99,61
Maangchi,Maangchi's Big Book of Korean Cooking: From Everyday Meals to Celebration Cuisine,$24.99,26
Unkown,"A History of Farmington Township, Polk County, Wisconsin",$20.00,
Susannah Cahalan,The Great Pretender: The Undercover Mission That Changed Our Understanding of Madness,$19.69,31
Alan Gratz,Allies,$12.59,26
Kenzie Swanhart,The Official Ninja Foodi Grill Cookbook for Beginners: 75 Recipes for Indoor Grilling and Air Frying Perfection,$17.99,2
Unkown,Mixtape Potluck Cookbook,$17.99,5
Misha Collins,The Adventurous Eaters Club: Mastering the Art of Family Mealtime,$20.99,60
Editors of Garden and Gun,"Southern Women: More Than 100 Stories of Innovators, Artists, and Icons (Garden & Gun Books)",$27.49,2
David Owen,Volume Control: Hearing in a Deafening World,$18.23,2
Joshua Foer,"Atlas Obscura, 2nd Edition: An Explorer's Guide to the World's Hidden Wonders",$25.99,10
Vicky Bennison,Pasta Grannies: The Official Cookbook: The Secrets of Italy's Best Home Cooks,$26.78,12
Juana Martinez-Neal,Fry Bread: A Native American Family Story,$17.09,3
Editors of Martha Stewart Living,Martha Stewart's Cookie Perfection: 100+ Recipes to Take Your Sweet Treats to the Next Level: A Baking Book,$18.29,16
Unkown,Something Greater: Finding Triumph over Trials,$19.44,61
Ari Herstand,How To Make It in the New Music Business: Practical Tips on Building a Loyal Following and Making a Living as a Musician (Second Edition),$21.49,5
Unkown,Women: The National Geographic Image Collection,$38.87,3
Unkown,The Modern Witch Tarot Deck,$22.46,11
Nuseir Yassin,"Around the World in 60 Seconds: The Nas Daily Journey―1,000 Days. 64 Countries. 1 Beautiful Planet.",$18.12,22
Toni Tipton-Martin,Jubilee: Recipes from Two Centuries of African American Cooking: A Cookbook,$28.66,6
Timothy Egan,A Pilgrimage to Eternity: From Canterbury to Rome in Search of a Faith,$20.99,11
David Kessler,Finding Meaning: The Sixth Stage of Grief,$23.40,1
Unkown,Rush: Wandering the Face of the Earth: The Official Touring History,$33.40,13
Parker Curry,Parker Looks Up: An Extraordinary Moment,$12.79,15
Newt Gingrich,Trump vs. China: Facing America's Greatest Threat,$17.72,10
Donald L. Miller,Vicksburg: Grant's Campaign That Broke the Confederacy,$25.58,4
Unkown,All You Need to Know About the Music Business: 10th Edition,$24.09,2
Alph Lukau,The Rise of the Prophetic Voice,$14.95,16
Lynda Barry,Making Comics,$15.99,2
Melissa Hartwig Urban,The Whole30 Friends & Family: 150 Recipes for Every Social Occasion,$15.29,19
Tom Holland,Dominion: How the Christian Revolution Remade the World,$28.80,1
Ben Crump,Open Season: Legalized Genocide of Colored People,$16.69,19
Alexander McCall Smith,To the Land of Long Lost Friends: No. 1 Ladies' Detective Agency (20) (No 1. Ladies' Detective Agency),$12.99,38
Emmanuel Saez,The Triumph of Injustice: How the Rich Dodge Taxes and How to Make Them Pay,$17.69,17
Unkown,Holding the Line: Inside Trump's Pentagon with Secretary Mattis,$21.41,23
Sophie Kinsella,Christmas Shopaholic: A Novel,$13.99,117
Johanna Basford,How to Draw Inky Wonderlands: Create and Color Your Own Magical Adventure,$13.59,77
Unkown,"The Harder You Work, the Luckier You Get: An Entrepreneur's Memoir",$27.48,2
Lindy West,The Witches Are Coming,$22.08,7
America's Test Kitchen,"The Side Dish Bible: 1001 Perfect Recipes for Every Vegetable, Rice, Grain, and Bean Dish You Will Ever Need",$24.99,2
Joel Stein,In Defense of Elitism: Why I'm Better Than You and You're Better Than Someone Who Didn't Buy This Book,$17.64,23
Allison Moorer,Blood: A Memoir,$24.30,23
Shauna Sever,"Midwest Made: Big, Bold Baking from the Heartland",$21.60,15
Rich Lowry,"The Case for Nationalism: How It Made Us Powerful, United, and Free",$24.29,9
Martha Grimes,The Old Success (A Richard Jury Mystery),$12.99,8
Fuchsia Dunlop,The Food of Sichuan,$26.62,6
H. W. Brands,Dreams of El Dorado: A History of the American West,$26.89,5
Nora Roberts,"Of Blood and Bone: Chronicles of The One, Book 2",$9.99,"1,377"
Kwame Mbalia,Tristan Strong Punches a Hole in the Sky (Tristan Strong (1)),$14.39,15
Andy Greenberg,Sandworm: A New Era of Cyberwar and the Hunt for the Kremlin's Most Dangerous Hackers,$26.06,1
Unkown,Critical Role Vox Machina: Origins Volume 1,$17.99,24
Unkown,Thriving as an Empath: 365 Days of Self-Care for Sensitive People,$17.49,16
Aurélien Géron,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",,6
Unkown,Lakota America: A New History of Indigenous Power (The Lamar Series in Western History),$31.50,4
Unkown,"Supernatural: The Official Cookbook: Burgers, Pies, and Other Bites from the Road",$20.99,11
Brian W Kernighan,UNIX: A History and a Memoir,$18.86,6
Stuart Woods,Stealth (A Stone Barrington Novel Book 51),$14.99,71
Emily Hutchinson,Creative Cookie Decorating: Buttercream Frosting Designs and Tips for Every Occasion,$15.74,130
Unkown,"Girl, Woman, Other: A Novel (Booker Prize Winner)",$10.20,1
Peter Asher,The Beatles from A to Zed: An Alphabetical Mystery Tour,$23.96,5
Unkown,Marlon Bundo's Best Christmas Ever,$16.24,3
Sherrod Brown,Desk 88: Eight Progressive Senators Who Changed America,$25.20,
Unkown,The Acid Watcher Cookbook: 100+ Delicious Recipes to Prevent and Heal Acid Reflux Disease,$9.99,5
Nancy Thayer,Let It Snow: A Novel,$10.99,73
Farah Merhi,Inspire Your Home: Easy Affordable Ideas to Make Every Room Glamorous,$24.99,19
Kristen Tomlan,"Hello, Cookie Dough: 110 Doughlicious Confections to Eat, Bake & Share",$15.99,37
Unkown,"Born to Party, Forced to Work: 21st Century Hospitality",$50.80,3
John Berardi,Change Maker: Turn Your Passion for Health and Fitness into a Powerful Purpose and a Wildly Successful Career,$26.40,10
Andrew Peterson,"Adorning the Dark: Thoughts on Community, Calling, and the Mystery of Making",$14.59,49
Boyd Morrison,Final Option (The Oregon Files Book 14),$14.99,8
Karen White,The Christmas Spirits on Tradd Street,$13.99,52
Christopher Kimball,Milk Street: The New Rules: Recipes That Will Change the Way You Cook,$24.39,6
Aaron Reynolds,Effin' Birds: A Field Guide to Identification,$11.96,10
Sheryl Haft,Goodnight Bubbala,$16.19,20
Rosemary Gladstar,Fire Cider!: 101 Zesty Recipes for Health-Boosting Remedies Made with Apple Cider Vinegar,$13.78,23
Unkown,"Spirit Hacking: Six Shamanic Keys to Reclaim Your Personal Power, Transform Yourself, and Light Up the World",$0.00,128
Aaron Glantz,"Homewreckers: How a Gang of Wall Street Kingpins, Hedge Fund Magnates, Crooked Banks, and Vulture Capitalists Suckered Millions Out of Their Homes and Demolished the American Dream",$25.19,6
Unkown,Project Middle School (Alyssa Milano's Hope #1) (1),$10.59,24
Jenna Dewan,Gracefully You: Finding Beauty and Balance in the Everyday,$17.40,13
Diana Kapp,Girls Who Run the World: 31 CEOs Who Mean Business,$17.90,11
Tom Brokaw,The Fall of Richard Nixon: A Reporter Remembers Watergate,$21.49,4
Bricia Lopez,"Oaxaca: The Food of the Region, and of LA s legendary restaurant Guelaguetza",$26.19,4
Christine Feehan,Leopard's Wrath (A Leopard Novel Book 12),$7.99,53
Ellie Krieger,"Whole in One: Complete, Healthy Meals in a Single Pot, Sheet Pan, or Skillet",$21.49,24
Shigenori Soejima,Shigenori Soejima & P-Studio Art Unit: Art Works 2,$28.99,2
Unkown,Every Breath,$0.00,"2,151"
Unkown,Warriors: A Vision of Shadows Box Set: Volumes 1 to 6,$33.49,5
Unkown,Making a Life: Working by Hand and Discovering the Life You Are Meant to Live,$24.25,5
Tyler Lockett,Reflection,$11.89,15
Alicia Menendez,The Likeability Trap: How to Break Free and Succeed as You Are,$24.29,2
Sarah J. Maas,A Court of Thorns and Roses Collector's Edition,$24.99,4
Jerry Rice,America's Game: The NFL at 100,$19.59,3
Lidia Matticchio Bastianich,Felidia: Recipes from My Flagship Restaurant,$22.99,3
Serena Wolf,The Dude Diet Dinnertime: 125 Clean(ish) Recipes for Weeknight Winners and Fancypants Dinners,$26.99,36
Brigit Esselmont,Intuitive Tarot: 31 Days to Learn to Read Tarot Cards and Develop Your Intuition,$19.80,11
Unkown,Unstuck: How To Talk To Humans & Get Them To Respond To You (Gameplan),$19.80,44
Keith Ammann,The Monsters Know What They're Doing: Combat Tactics for Dungeon Masters,$26.09,7
Joseph Kanon,The Accomplice: A Novel,$14.99,17
Jami Attenberg,All This Could Be Yours,$14.99,31
Alexandra Jacobs,"Still Here: The Madcap, Nervy, Singular Life of Elaine Stritch",$18.90,12
Elaine Sciolino,The Seine: The River that Made Paris,$24.26,1
Unkown,Not Afraid: The Evolution of Eminem,$17.99,6
Leah Greenberg,We Are Indivisible: A Blueprint for Democracy After Trump,$19.59,3
Helen Hardt,Ravenous (Steel Brothers Saga Book 11),$6.99,189
Unkown,"CSB Tony Evans Study Bible, Black/Brown LeatherTouch",$52.40,6
Unkown,The Baby-Sitters Club Graphic Novels #1-7: A Graphix Collection: Full-Color Edition (The Baby-Sitters Club Graphix),$64.88,
Donal Skehan,"Donal's Meal in Minutes: 90 Suppers from Scratch, 15 Minutes Prep",$19.39,4
Unkown,"Jet Girl: My Life in War, Peace, and the Cockpit of the Navy's Most Lethal Aircraft, the F/A-18 Super Hornet",$20.49,13
Ryan Manion,The Knock at the Door: Three Gold Star Families Bonded by Grief and Purpose,$25.20,6
Karine Jean-Pierre,"Moving Forward: A Story of Hope, Hard Work, and the Promise of America",$18.89,15
Unkown,Before and After: The Incredible Real-Life Stories of Orphans Who Survived the Tennessee Children's Home Society,$0.00,81
Isa Chandra Moskowitz,I Can Cook Vegan,$21.05,18
Matt Stoller,Goliath: The 100-Year War Between Monopoly Power and Democracy,$17.93,8
Unkown,Killing the Planet: How a Financial Cartel Doomed Mankind,$26.95,130
Bret Baier,Three Days at the Brink: Young Readers' Edition: FDR's Daring Gamble to Win World War II,$16.19,
Unkown,Ansel Adams' Yosemite: The Special Edition Prints,$36.00,
Koyoharu Gotouge,"Demon Slayer: Kimetsu no Yaiba, Vol. 9 (9)",$8.99,3
Mallika Chopra,"Just Feel: How to Be Stronger, Happier, Healthier, and More",$9.69,14
Unkown,Virgil Abloh: Figures of Speech Special Edition,$99.34,3
Unkown,Shigenori Soejima: Art Works,$35.99,1
Unkown,Billion Dollar Whale,$0.00,310
Alex Dimitrov,Astro Poets: Your Guides to the Zodiac,$17.38,4
Nintendo,The Art of Super Mario Odyssey,$34.98,7
Whitney Otawka,Saltwater Table: Recipes from the Coastal South,$24.57,8
Unkown,Medallion Status: True Stories from Secret Rooms,$0.00,19
Unkown,I Am Perfectly Designed,$14.52,8
Unkown,"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition",$169.99,2
Unkown,Where the Crawdads Sing Deluxe Edition,$27.99,
Unkown,It Shouldn't Be This Hard to Serve Your Country: Our Broken Government and the Plight of Veterans,$18.69,22
Gail Collins,No Stopping Us Now: The Adventures of Older Women in American History,$19.19,1
Wendy Speake,The 40-Day Sugar Fast: Where Physical Detox Meets Spiritual Transformation,$10.59,157
Ken Follett,Notre-Dame: A Short History of the Meaning of Cathedrals,$9.99,24
Jenny Keller,Cookie Class: 120 Irresistible Decorating Ideas for Any Occasion,$17.49,51
Kugane Maruyama,"Overlord, Vol. 11 (light novel): The Dwarven Crafter (Overlord (11))",$13.99,16
Jon Krakauer,Classic Krakauer: Essays on Wilderness and Risk,$11.99,31
Unkown,"Batman: The Definitive History of the Dark Knight in Comics, Film, and Beyond",$51.11,5
Unkown,I Broke My Butt!  The Cheeky Sequel to the International Bestseller I Need a New Butt!,$7.58,7
The Countess of Carnarvon,Christmas at Highclere: Recipes and Traditions from The Real Downton Abbey,,1
Unkown,Yes We Did: Photos and Behind-the-Scenes Stories Celebrating Our First African American President,$16.57,7
Charles Krauthammer,The Point of It All: A Lifetime of Great Loves and Endeavors,$12.24,518
Theresa Aletheia Noble FSP,Memento Mori: Prayers on the Last Things,$21.85,4
Latasha Morrison,Be the Bridge: Pursuing God's Heart for Racial Reconciliation,$13.49,161
Jean-Philippe Cyr,"The Buddhist Chef: 100 Simple, Feel-Good Vegan Recipes",$22.33,11
John Kasich,It's Up to Us: Ten Little Ways We Can Bring About Big Change,$17.99,6
Dustin McNeill,Taking Shape: Developing Halloween From Script to Scream,$21.59,6
Unkown,Airline Maps: A Century of Art and Design,$26.49,1
Tony Evans,"CSB Tony Evans Study Bible, Hardcover",$44.99,4
Clint Edwards,Silence is a Scary Sound: And Other Stories on Living Through the Terrible Twos and Threes,$14.80,9
Unkown,The Giver of Stars: A Novel,$0.00,210
Salina Yoon,Kiki & Jax: The Life-Changing Magic of Friendship,$16.19,4
Christina Lauren,Twice in a Blue Moon,$8.99,154
Nina Freudenberger,Bibliostyle: How We Live at Home with Books,$28.49,8
Joanna Saltz,"Delish Insane Sweets: Bake Yourself a Little Crazy: 100+ Cookies, Bars, Bites, and Treats",$15.99,6
Humble the Poet,Things No One Else Can Teach Us,$15.83,5
Chelsea Monroe-Cassel,Star Wars: Galaxy's Edge: The Official Black Spire Outpost Cookbook,$31.50,
Kelly Noonan Gores,Heal: Discover Your Unlimited Potential and Awaken the Powerful Healer Within,$21.99,26
Michelle Lopez,Weeknight Baking: Recipes to Fit Your Schedule,$31.50,21
P. C. Cast,"Forgotten (House of Night Other World Series, 3)",$12.49,9
Terri Blackstock,Smoke Screen,$9.99,38
Jerry Pallotta,Who Would Win?: Ultimate Showdown,$8.97,5
Mark Batterson,Double Blessing: How to Get It. How to Give It.,$13.45,63
r.h. Sin,Falling Toward the Moon,$12.59,6
Charles F. Stanley,The Will of God: Understanding and Pursuing His Ultimate Plan for Your Life,$19.12,5
Alberto Cairo,How Charts Lie: Getting Smarter about Visual Information,$18.25,13
George R. R. Martin,A Clash of Kings: The Illustrated Edition: A Song of Ice and Fire: Book Two (A Song of Ice and Fire Illustrated Edition 2),$11.99,8
Tim O'Brien,Dad's Maybe Book,$16.74,17
Azra Raza,The First Cell: And the Human Costs of Pursuing Cancer to the Last,$20.95,22
Unkown,"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",$0.00,362
S. C. Gwynne,Hymns of the Republic: The Story of the Final Year of the American Civil War,$27.49,4
Jody Revenson,Harry Potter and the Cursed Child: The Journey: Behind the Scenes of the Award-Winning Stage Production,$31.99,2
Craig Borlase,"God's Hostage: A True Story of Persecution, Imprisonment, and Perseverance",$21.86,17
